institution,date,file_path,gross_loans,credit_impairments,npl_ratio
AFRICAN BANK LIMITED (N),2023-08-01,test_data/BA900_2023-08-01_zipcsv/160571.csv,6183686.0,11550481.0,186.78957825478201
BANK OF CHINA LTD JHB BRANCH (T/A BANK OF CHINA JHB BRANCH),2023-08-01,test_data/BA900_2023-08-01_zipcsv/337889.csv,653614.0,702460.0,107.47321813792239
CAPITEC BANK,2023-08-01,test_data/BA900_2023-08-01_zipcsv/333107.csv,8633824.0,21741882.0,251.82215898772085
CITIBANK N.A,2023-08-01,test_data/BA900_2023-08-01_zipcsv/165565.csv,1970350.1500000001,150395.95,7.63295549270773
DISCOVERY BANK LIMITED,2023-08-01,test_data/BA900_2023-08-01_zipcsv/165271.csv,5249133.0,488242.0,9.301383676123276
FIRSTRAND BANK LIMITED,2023-08-01,test_data/BA900_2023-08-01_zipcsv/416053.csv,58106648.2208,35904077.0714,61.78996409320972
GBS MUTUAL BANK,2023-08-01,test_data/BA900_2023-08-01_zipcsv/418072.csv,9.0,12997.0,144411.1111111111
HSBC BANK PLC - JOHANNESBURG BRANCH,2023-08-01,test_data/BA900_2023-08-01_zipcsv/535761.csv,16836.0,100238.0,595.3789498693277
INVESTEC BANK LTD,2023-08-01,test_data/BA900_2023-08-01_zipcsv/25054.csv,2122694.0,3623845.0,170.71914274973219
JPMORGAN CHASE BANK (JOHANNESBURG BRANCH),2023-08-01,test_data/BA900_2023-08-01_zipcsv/331899.csv,35.0,25708.0,73451.42857142858
NEDBANK LTD,2023-08-01,test_data/BA900_2023-08-01_zipcsv/416088.csv,18768358.0,28584636.0,152.30227385901313
STANDARD CHARTERED BANK,2023-08-01,test_data/BA900_2023-08-01_zipcsv/535788.csv,38075.0,881882.0,2316.170715692712
THE STANDARD BANK OF S A LTD,2023-08-01,test_data/BA900_2023-08-01_zipcsv/416061.csv,42853904.0,49622993.0,115.79573473632647
ABSA BANK LTD,2023-09-01,test_data/BA900_2023-09-01_zipcsv/34118.csv,43884854.0,37926384.0,86.42249100338809
ACCESS BANK (SOUTH AFRICA) LIMITED,2023-09-01,test_data/BA900_2023-09-01_zipcsv/416134.csv,437241.0,62074.0,14.196747331563142
AFRICAN BANK LIMITED (N),2023-09-01,test_data/BA900_2023-09-01_zipcsv/160571.csv,6402973.0,11272909.0,176.0574189521024
BANK OF CHINA LTD JHB BRANCH (T/A BANK OF CHINA JHB BRANCH),2023-09-01,test_data/BA900_2023-09-01_zipcsv/337889.csv,836976.0,618475.0,73.89399457093154
CAPITEC BANK,2023-09-01,test_data/BA900_2023-09-01_zipcsv/333107.csv,8793970.0,21850901.0,248.47595568326932
CITIBANK N.A,2023-09-01,test_data/BA900_2023-09-01_zipcsv/165565.csv,1481869.4200000002,85989.27,5.802756223959328
DISCOVERY BANK LIMITED,2023-09-01,test_data/BA900_2023-09-01_zipcsv/165271.csv,5346796.0,495861.0,9.273983896150142
FIRSTRAND BANK LIMITED,2023-09-01,test_data/BA900_2023-09-01_zipcsv/416053.csv,58750443.1556,36057633.1275,61.3742317347321
GBS MUTUAL BANK,2023-09-01,test_data/BA900_2023-09-01_zipcsv/418072.csv,9.0,14236.0,158177.77777777778
HSBC BANK PLC - JOHANNESBURG BRANCH,2023-09-01,test_data/BA900_2023-09-01_zipcsv/535761.csv,5289.0,85927.0,1624.636037058045
INVESTEC BANK LTD,2023-09-01,test_data/BA900_2023-09-01_zipcsv/25054.csv,2099561.0,3550111.0,169.08825225844834
JPMORGAN CHASE BANK (JOHANNESBURG BRANCH),2023-09-01,test_data/BA900_2023-09-01_zipcsv/331899.csv,43.0,22577.0,52504.651162790695
